instant,date,season,year,month,hours,holiday,one_week,category_day,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,total_count,status,time_category
22,2011-01-01,Spring,2011,Jan,21,0,Saturday,Weekend,Misty,0.4,0.4091,87.0,0.194,3,31,34,Rendah,Malam
23,2011-01-01,Spring,2011,Jan,22,0,Saturday,Weekend,Misty,0.4,0.4091,94.0,0.2239,11,17,28,Rendah,Malam
24,2011-01-01,Spring,2011,Jan,23,0,Saturday,Weekend,Misty,0.46,0.4545,88.0,0.2985,15,24,39,Rendah,Malam
25,2011-01-02,Spring,2011,Jan,0,0,Sunday,Weekend,Misty,0.46,0.4545,88.0,0.2985,4,13,17,Rendah,Dini Hari
26,2011-01-02,Spring,2011,Jan,1,0,Sunday,Weekend,Misty,0.44,0.4394,94.0,0.2537,1,16,17,Rendah,Dini Hari
27,2011-01-02,Spring,2011,Jan,2,0,Sunday,Weekend,Misty,0.42,0.4242,100.0,0.2836,1,8,9,Rendah,Dini Hari
28,2011-01-02,Spring,2011,Jan,3,0,Sunday,Weekend,Misty,0.46,0.4545,94.0,0.194,2,4,6,Rendah,Dini Hari
29,2011-01-02,Spring,2011,Jan,4,0,Sunday,Weekend,Misty,0.46,0.4545,94.0,0.194,2,1,3,Rendah,Dini Hari
30,2011-01-02,Spring,2011,Jan,6,0,Sunday,Weekend,Light_rainsnow,0.42,0.4242,77.0,0.2985,0,2,2,Rendah,Pagi
31,2011-01-02,Spring,2011,Jan,7,0,Sunday,Weekend,Misty,0.4,0.4091,76.0,0.194,0,1,1,Rendah,Pagi
32,2011-01-02,Spring,2011,Jan,8,0,Sunday,Weekend,Light_rainsnow,0.4,0.4091,71.0,0.2239,0,8,8,Rendah,Pagi
33,2011-01-02,Spring,2011,Jan,9,0,Sunday,Weekend,Misty,0.38,0.3939,76.0,0.2239,1,19,20,Rendah,Pagi
34,2011-01-02,Spring,2011,Jan,10,0,Sunday,Weekend,Misty,0.36,0.3485,81.0,0.2239,7,46,53,Rendah,Pagi
35,2011-01-02,Spring,2011,Jan,11,0,Sunday,Weekend,Misty,0.36,0.3333,71.0,0.2537,16,54,70,Rendah,Pagi
36,2011-01-02,Spring,2011,Jan,12,0,Sunday,Weekend,Misty,0.36,0.3333,66.0,0.2985,20,73,93,Rendah,Siang
37,2011-01-02,Spring,2011,Jan,13,0,Sunday,Weekend,Misty,0.36,0.3485,66.0,0.1343,11,64,75,Rendah,Siang
38,2011-01-02,Spring,2011,Jan,14,0,Sunday,Weekend,Light_rainsnow,0.36,0.3485,76.0,0.194,4,55,59,Rendah,Siang
39,2011-01-02,Spring,2011,Jan,15,0,Sunday,Weekend,Light_rainsnow,0.34,0.3333,81.0,0.1642,19,55,74,Rendah,Siang
40,2011-01-02,Spring,2011,Jan,16,0,Sunday,Weekend,Light_rainsnow,0.34,0.3333,71.0,0.1642,9,67,76,Rendah,Siang
41,2011-01-02,Spring,2011,Jan,17,0,Sunday,Weekend,Clear,0.34,0.3333,56.99999999999999,0.194,7,58,65,Rendah,Siang
42,2011-01-02,Spring,2011,Jan,18,0,Sunday,Weekend,Misty,0.36,0.3333,46.0,0.3284,10,43,53,Rendah,Malam
43,2011-01-02,Spring,2011,Jan,19,0,Sunday,Weekend,Clear,0.32,0.2879,42.0,0.4478,1,29,30,Rendah,Malam
44,2011-01-02,Spring,2011,Jan,20,0,Sunday,Weekend,Clear,0.3,0.2727,39.0,0.3582,5,17,22,Rendah,Malam
45,2011-01-02,Spring,2011,Jan,21,0,Sunday,Weekend,Clear,0.26,0.2273,44.0,0.3284,11,20,31,Rendah,Malam
46,2011-01-02,Spring,2011,Jan,22,0,Sunday,Weekend,Clear,0.24,0.2121,44.0,0.2985,0,9,9,Rendah,Malam
47,2011-01-02,Spring,2011,Jan,23,0,Sunday,Weekend,Clear,0.22,0.2273,47.0,0.1642,0,8,8,Rendah,Malam
48,2011-01-03,Spring,2011,Jan,0,0,Monday,Weekday,Clear,0.22,0.197,44.0,0.3582,0,5,5,Rendah,Dini Hari
49,2011-01-03,Spring,2011,Jan,1,0,Monday,Weekday,Clear,0.2,0.1667,44.0,0.4179,0,2,2,Rendah,Dini Hari
50,2011-01-03,Spring,2011,Jan,4,0,Monday,Weekday,Clear,0.16,0.1364,47.0,0.3881,0,1,1,Rendah,Dini Hari
51,2011-01-03,Spring,2011,Jan,5,0,Monday,Weekday,Clear,0.16,0.1364,47.0,0.2836,0,3,3,Rendah,Dini Hari
52,2011-01-03,Spring,2011,Jan,6,0,Monday,Weekday,Clear,0.14,0.1061,50.0,0.3881,0,30,30,Rendah,Pagi
53,2011-01-03,Spring,2011,Jan,7,0,Monday,Weekday,Clear,0.14,0.1364,50.0,0.194,1,63,64,Rendah,Pagi
54,2011-01-03,Spring,2011,Jan,8,0,Monday,Weekday,Clear,0.14,0.1212,50.0,0.2836,1,153,154,Rendah,Pagi
55,2011-01-03,Spring,2011,Jan,9,0,Monday,Weekday,Clear,0.16,0.1364,43.0,0.3881,7,81,88,Rendah,Pagi
56,2011-01-03,Spring,2011,Jan,10,0,Monday,Weekday,Clear,0.18,0.1667,43.0,0.2537,11,33,44,Rendah,Pagi
57,2011-01-03,Spring,2011,Jan,11,0,Monday,Weekday,Clear,0.2,0.1818,40.0,0.3284,10,41,51,Rendah,Pagi
58,2011-01-03,Spring,2011,Jan,12,0,Monday,Weekday,Clear,0.22,0.2121,35.0,0.2985,13,48,61,Rendah,Siang
59,2011-01-03,Spring,2011,Jan,13,0,Monday,Weekday,Clear,0.24,0.2121,35.0,0.2836,8,53,61,Rendah,Siang
60,2011-01-03,Spring,2011,Jan,14,0,Monday,Weekday,Clear,0.26,0.2424,30.0,0.2836,11,66,77,Rendah,Siang
61,2011-01-03,Spring,2011,Jan,15,0,Monday,Weekday,Clear,0.26,0.2424,30.0,0.2537,14,58,72,Rendah,Siang
62,2011-01-03,Spring,2011,Jan,16,0,Monday,Weekday,Clear,0.26,0.2424,30.0,0.2537,9,67,76,Rendah,Siang
63,2011-01-03,Spring,2011,Jan,17,0,Monday,Weekday,Clear,0.24,0.2273,30.0,0.2239,11,146,157,Rendah,Siang
64,2011-01-03,Spring,2011,Jan,18,0,Monday,Weekday,Clear,0.24,0.2576,32.0,0.1045,9,148,157,Rendah,Malam
65,2011-01-03,Spring,2011,Jan,19,0,Monday,Weekday,Clear,0.2,0.2576,47.0,0.0,8,102,110,Rendah,Malam
66,2011-01-03,Spring,2011,Jan,20,0,Monday,Weekday,Clear,0.2,0.2273,47.0,0.1045,3,49,52,Rendah,Malam
67,2011-01-03,Spring,2011,Jan,21,0,Monday,Weekday,Clear,0.18,0.197,64.0,0.1343,3,49,52,Rendah,Malam
68,2011-01-03,Spring,2011,Jan,22,0,Monday,Weekday,Clear,0.14,0.1515,69.0,0.1343,0,20,20,Rendah,Malam
69,2011-01-03,Spring,2011,Jan,23,0,Monday,Weekday,Clear,0.18,0.2121,55.00000000000001,0.1045,1,11,12,Rendah,Malam
70,2011-01-04,Spring,2011,Jan,0,0,Tuesday,Weekday,Clear,0.16,0.1818,55.00000000000001,0.1045,0,5,5,Rendah,Dini Hari
71,2011-01-04,Spring,2011,Jan,1,0,Tuesday,Weekday,Clear,0.16,0.1818,59.0,0.1045,0,2,2,Rendah,Dini Hari
72,2011-01-04,Spring,2011,Jan,2,0,Tuesday,Weekday,Clear,0.14,0.1515,63.0,0.1343,0,1,1,Rendah,Dini Hari
73,2011-01-04,Spring,2011,Jan,4,0,Tuesday,Weekday,Clear,0.14,0.1818,63.0,0.0896,0,2,2,Rendah,Dini Hari
74,2011-01-04,Spring,2011,Jan,5,0,Tuesday,Weekday,Clear,0.12,0.1515,68.0,0.1045,0,4,4,Rendah,Dini Hari
75,2011-01-04,Spring,2011,Jan,6,0,Tuesday,Weekday,Clear,0.12,0.1515,74.0,0.1045,0,36,36,Rendah,Pagi
76,2011-01-04,Spring,2011,Jan,7,0,Tuesday,Weekday,Clear,0.12,0.1515,74.0,0.1343,2,92,94,Rendah,Pagi
77,2011-01-04,Spring,2011,Jan,8,0,Tuesday,Weekday,Clear,0.14,0.1515,69.0,0.1642,2,177,179,Rendah,Pagi
78,2011-01-04,Spring,2011,Jan,9,0,Tuesday,Weekday,Clear,0.16,0.1515,64.0,0.2239,2,98,100,Rendah,Pagi
79,2011-01-04,Spring,2011,Jan,10,0,Tuesday,Weekday,Misty,0.16,0.1364,69.0,0.3284,5,37,42,Rendah,Pagi
80,2011-01-04,Spring,2011,Jan,11,0,Tuesday,Weekday,Clear,0.22,0.2121,51.0,0.2985,7,50,57,Rendah,Pagi
81,2011-01-04,Spring,2011,Jan,12,0,Tuesday,Weekday,Clear,0.22,0.2273,51.0,0.1642,12,66,78,Rendah,Siang
82,2011-01-04,Spring,2011,Jan,13,0,Tuesday,Weekday,Clear,0.24,0.2273,56.00000000000001,0.194,18,79,97,Rendah,Siang
83,2011-01-04,Spring,2011,Jan,14,0,Tuesday,Weekday,Clear,0.26,0.2576,52.0,0.2239,9,54,63,Rendah,Siang
84,2011-01-04,Spring,2011,Jan,15,0,Tuesday,Weekday,Clear,0.28,0.2727,52.0,0.2537,17,48,65,Rendah,Siang
85,2011-01-04,Spring,2011,Jan,16,0,Tuesday,Weekday,Clear,0.3,0.2879,49.0,0.2537,15,68,83,Rendah,Siang
86,2011-01-04,Spring,2011,Jan,17,0,Tuesday,Weekday,Clear,0.28,0.2727,48.0,0.2239,10,202,212,Tinggi,Siang
87,2011-01-04,Spring,2011,Jan,18,0,Tuesday,Weekday,Clear,0.26,0.2576,48.0,0.194,3,179,182,Rendah,Malam
88,2011-01-04,Spring,2011,Jan,19,0,Tuesday,Weekday,Clear,0.24,0.2576,48.0,0.1045,2,110,112,Rendah,Malam
89,2011-01-04,Spring,2011,Jan,20,0,Tuesday,Weekday,Clear,0.24,0.2576,48.0,0.1045,1,53,54,Rendah,Malam
90,2011-01-04,Spring,2011,Jan,21,0,Tuesday,Weekday,Clear,0.22,0.2727,64.0,0.0,0,48,48,Rendah,Malam
91,2011-01-04,Spring,2011,Jan,22,0,Tuesday,Weekday,Clear,0.22,0.2576,64.0,0.0896,1,34,35,Rendah,Malam
92,2011-01-04,Spring,2011,Jan,23,0,Tuesday,Weekday,Clear,0.2,0.2273,69.0,0.0896,2,9,11,Rendah,Malam
93,2011-01-05,Spring,2011,Jan,0,0,Wednesday,Weekday,Clear,0.2,0.2576,64.0,0.0,0,6,6,Rendah,Dini Hari
94,2011-01-05,Spring,2011,Jan,1,0,Wednesday,Weekday,Clear,0.16,0.197,74.0,0.0896,0,6,6,Rendah,Dini Hari
95,2011-01-05,Spring,2011,Jan,2,0,Wednesday,Weekday,Clear,0.16,0.197,74.0,0.0896,0,2,2,Rendah,Dini Hari
96,2011-01-05,Spring,2011,Jan,4,0,Wednesday,Weekday,Clear,0.24,0.2273,48.0,0.2239,0,2,2,Rendah,Dini Hari
97,2011-01-05,Spring,2011,Jan,5,0,Wednesday,Weekday,Clear,0.22,0.2273,47.0,0.1642,0,3,3,Rendah,Dini Hari
98,2011-01-05,Spring,2011,Jan,6,0,Wednesday,Weekday,Clear,0.2,0.197,47.0,0.2239,0,33,33,Rendah,Pagi
99,2011-01-05,Spring,2011,Jan,7,0,Wednesday,Weekday,Clear,0.18,0.1818,43.0,0.194,1,87,88,Rendah,Pagi
100,2011-01-05,Spring,2011,Jan,8,0,Wednesday,Weekday,Clear,0.2,0.1818,40.0,0.2985,3,192,195,Tinggi,Pagi
101,2011-01-05,Spring,2011,Jan,9,0,Wednesday,Weekday,Clear,0.22,0.197,37.0,0.3284,6,109,115,Rendah,Pagi
102,2011-01-05,Spring,2011,Jan,10,0,Wednesday,Weekday,Clear,0.22,0.197,37.0,0.3284,4,53,57,Rendah,Pagi
103,2011-01-05,Spring,2011,Jan,11,0,Wednesday,Weekday,Clear,0.26,0.2273,33.0,0.3284,12,34,46,Rendah,Pagi
104,2011-01-05,Spring,2011,Jan,12,0,Wednesday,Weekday,Clear,0.26,0.2273,33.0,0.3284,5,74,79,Rendah,Siang
105,2011-01-05,Spring,2011,Jan,13,0,Wednesday,Weekday,Clear,0.28,0.2576,30.0,0.2985,6,65,71,Rendah,Siang
106,2011-01-05,Spring,2011,Jan,14,0,Wednesday,Weekday,Clear,0.3,0.2879,28.000000000000004,0.194,10,52,62,Rendah,Siang
107,2011-01-05,Spring,2011,Jan,15,0,Wednesday,Weekday,Clear,0.3,0.2879,28.000000000000004,0.194,7,55,62,Rendah,Siang
108,2011-01-05,Spring,2011,Jan,16,0,Wednesday,Weekday,Clear,0.3,0.3182,28.000000000000004,0.0896,4,85,89,Rendah,Siang
109,2011-01-05,Spring,2011,Jan,17,0,Wednesday,Weekday,Clear,0.24,0.2273,38.0,0.194,4,186,190,Tinggi,Siang
110,2011-01-05,Spring,2011,Jan,18,0,Wednesday,Weekday,Clear,0.24,0.2424,38.0,0.1343,3,166,169,Rendah,Malam
111,2011-01-05,Spring,2011,Jan,19,0,Wednesday,Weekday,Clear,0.24,0.2576,38.0,0.1045,5,127,132,Rendah,Malam
112,2011-01-05,Spring,2011,Jan,20,0,Wednesday,Weekday,Clear,0.22,0.2273,47.0,0.1642,7,82,89,Rendah,Malam
113,2011-01-05,Spring,2011,Jan,21,0,Wednesday,Weekday,Clear,0.2,0.197,51.0,0.194,3,40,43,Rendah,Malam
114,2011-01-05,Spring,2011,Jan,22,0,Wednesday,Weekday,Clear,0.18,0.197,55.00000000000001,0.1343,1,41,42,Rendah,Malam
115,2011-01-05,Spring,2011,Jan,23,0,Wednesday,Weekday,Clear,0.2,0.2576,47.0,0.0,1,18,19,Rendah,Malam
116,2011-01-06,Spring,2011,Jan,0,0,Thursday,Weekday,Clear,0.18,0.2424,55.00000000000001,0.0,0,11,11,Rendah,Dini Hari
117,2011-01-06,Spring,2011,Jan,1,0,Thursday,Weekday,Clear,0.16,0.2273,64.0,0.0,0,4,4,Rendah,Dini Hari
118,2011-01-06,Spring,2011,Jan,2,0,Thursday,Weekday,Clear,0.16,0.2273,64.0,0.0,0,2,2,Rendah,Dini Hari
119,2011-01-06,Spring,2011,Jan,4,0,Thursday,Weekday,Misty,0.16,0.197,64.0,0.0896,0,1,1,Rendah,Dini Hari
120,2011-01-06,Spring,2011,Jan,5,0,Thursday,Weekday,Misty,0.14,0.1818,69.0,0.0896,0,4,4,Rendah,Dini Hari
121,2011-01-06,Spring,2011,Jan,6,0,Thursday,Weekday,Misty,0.14,0.1667,63.0,0.1045,0,36,36,Rendah,Pagi
122,2011-01-06,Spring,2011,Jan,7,0,Thursday,Weekday,Misty,0.16,0.2273,59.0,0.0,0,95,95,Rendah,Pagi
123,2011-01-06,Spring,2011,Jan,8,0,Thursday,Weekday,Clear,0.16,0.2273,59.0,0.0,3,216,219,Tinggi,Pagi
124,2011-01-06,Spring,2011,Jan,9,0,Thursday,Weekday,Misty,0.18,0.2424,51.0,0.0,6,116,122,Rendah,Pagi
125,2011-01-06,Spring,2011,Jan,10,0,Thursday,Weekday,Clear,0.2,0.2576,47.0,0.0,3,42,45,Rendah,Pagi
126,2011-01-06,Spring,2011,Jan,11,0,Thursday,Weekday,Clear,0.22,0.2576,44.0,0.0896,2,57,59,Rendah,Pagi
127,2011-01-06,Spring,2011,Jan,12,0,Thursday,Weekday,Clear,0.26,0.2879,35.0,0.0,6,78,84,Rendah,Siang
128,2011-01-06,Spring,2011,Jan,13,0,Thursday,Weekday,Clear,0.26,0.2727,35.0,0.1045,12,55,67,Rendah,Siang
129,2011-01-06,Spring,2011,Jan,14,0,Thursday,Weekday,Clear,0.28,0.2727,36.0,0.1642,11,59,70,Rendah,Siang
130,2011-01-06,Spring,2011,Jan,15,0,Thursday,Weekday,Clear,0.28,0.2727,36.0,0.0,8,54,62,Rendah,Siang
131,2011-01-06,Spring,2011,Jan,16,0,Thursday,Weekday,Clear,0.26,0.2576,38.0,0.1642,12,74,86,Rendah,Siang
132,2011-01-06,Spring,2011,Jan,17,0,Thursday,Weekday,Clear,0.22,0.2273,51.0,0.1642,9,163,172,Rendah,Siang
133,2011-01-06,Spring,2011,Jan,18,0,Thursday,Weekday,Clear,0.22,0.2273,51.0,0.1343,5,158,163,Rendah,Malam
134,2011-01-06,Spring,2011,Jan,19,0,Thursday,Weekday,Clear,0.22,0.2576,55.00000000000001,0.0896,3,109,112,Rendah,Malam
135,2011-01-06,Spring,2011,Jan,20,0,Thursday,Weekday,Clear,0.2,0.2121,51.0,0.1642,3,66,69,Rendah,Malam
136,2011-01-06,Spring,2011,Jan,21,0,Thursday,Weekday,Misty,0.22,0.2121,55.00000000000001,0.2239,0,48,48,Rendah,Malam
137,2011-01-06,Spring,2011,Jan,22,0,Thursday,Weekday,Misty,0.22,0.2121,51.0,0.2836,1,51,52,Rendah,Malam
138,2011-01-06,Spring,2011,Jan,23,0,Thursday,Weekday,Misty,0.2,0.197,59.0,0.194,4,19,23,Rendah,Malam
139,2011-01-07,Spring,2011,Jan,0,0,Friday,Weekday,Misty,0.2,0.197,64.0,0.194,4,13,17,Rendah,Dini Hari
140,2011-01-07,Spring,2011,Jan,1,0,Friday,Weekday,Misty,0.2,0.197,69.0,0.2239,2,5,7,Rendah,Dini Hari
141,2011-01-07,Spring,2011,Jan,2,0,Friday,Weekday,Misty,0.2,0.197,69.0,0.2239,0,1,1,Rendah,Dini Hari
142,2011-01-07,Spring,2011,Jan,4,0,Friday,Weekday,Misty,0.2,0.2121,69.0,0.1343,0,1,1,Rendah,Dini Hari
143,2011-01-07,Spring,2011,Jan,5,0,Friday,Weekday,Light_rainsnow,0.22,0.2727,55.00000000000001,0.0,0,5,5,Rendah,Dini Hari
144,2011-01-07,Spring,2011,Jan,6,0,Friday,Weekday,Misty,0.2,0.2576,69.0,0.0,8,26,34,Rendah,Pagi
145,2011-01-07,Spring,2011,Jan,7,0,Friday,Weekday,Clear,0.2,0.2121,69.0,0.1343,8,76,84,Rendah,Pagi
146,2011-01-07,Spring,2011,Jan,8,0,Friday,Weekday,Clear,0.2,0.197,51.0,0.2537,20,190,210,Tinggi,Pagi
147,2011-01-07,Spring,2011,Jan,9,0,Friday,Weekday,Clear,0.2,0.1818,47.0,0.2985,9,125,134,Rendah,Pagi
148,2011-01-07,Spring,2011,Jan,10,0,Friday,Weekday,Clear,0.22,0.197,37.0,0.3284,16,47,63,Rendah,Pagi
149,2011-01-07,Spring,2011,Jan,11,0,Friday,Weekday,Misty,0.2,0.197,40.0,0.2239,19,48,67,Rendah,Pagi
150,2011-01-07,Spring,2011,Jan,12,0,Friday,Weekday,Misty,0.2,0.197,37.0,0.2537,9,50,59,Rendah,Siang
151,2011-01-07,Spring,2011,Jan,13,0,Friday,Weekday,Misty,0.2,0.1818,37.0,0.2836,9,64,73,Rendah,Siang
152,2011-01-07,Spring,2011,Jan,14,0,Friday,Weekday,Misty,0.2,0.197,40.0,0.2537,7,43,50,Rendah,Siang
153,2011-01-07,Spring,2011,Jan,15,0,Friday,Weekday,Misty,0.2,0.2121,37.0,0.1642,9,63,72,Rendah,Siang
154,2011-01-07,Spring,2011,Jan,16,0,Friday,Weekday,Misty,0.2,0.2121,37.0,0.1642,5,82,87,Rendah,Siang
155,2011-01-07,Spring,2011,Jan,17,0,Friday,Weekday,Misty,0.2,0.2576,37.0,0.0,9,178,187,Rendah,Siang
156,2011-01-07,Spring,2011,Jan,18,0,Friday,Weekday,Clear,0.2,0.2273,40.0,0.0896,7,116,123,Rendah,Malam
157,2011-01-07,Spring,2011,Jan,19,0,Friday,Weekday,Clear,0.16,0.197,55.00000000000001,0.0896,3,92,95,Rendah,Malam
158,2011-01-07,Spring,2011,Jan,20,0,Friday,Weekday,Clear,0.18,0.2121,47.0,0.1045,1,50,51,Rendah,Malam
159,2011-01-07,Spring,2011,Jan,21,0,Friday,Weekday,Clear,0.18,0.197,47.0,0.1343,0,39,39,Rendah,Malam
160,2011-01-07,Spring,2011,Jan,22,0,Friday,Weekday,Misty,0.18,0.197,43.0,0.1642,2,34,36,Rendah,Malam
161,2011-01-07,Spring,2011,Jan,23,0,Friday,Weekday,Misty,0.18,0.197,51.0,0.1642,1,14,15,Rendah,Malam
162,2011-01-08,Spring,2011,Jan,0,0,Saturday,Weekend,Misty,0.18,0.197,51.0,0.1642,1,24,25,Rendah,Dini Hari
163,2011-01-08,Spring,2011,Jan,1,0,Saturday,Weekend,Misty,0.18,0.2121,55.00000000000001,0.0896,1,15,16,Rendah,Dini Hari
164,2011-01-08,Spring,2011,Jan,2,0,Saturday,Weekend,Misty,0.18,0.2424,55.00000000000001,0.0,3,13,16,Rendah,Dini Hari
165,2011-01-08,Spring,2011,Jan,3,0,Saturday,Weekend,Light_rainsnow,0.18,0.197,55.00000000000001,0.1642,0,7,7,Rendah,Dini Hari
166,2011-01-08,Spring,2011,Jan,4,0,Saturday,Weekend,Light_rainsnow,0.18,0.197,55.00000000000001,0.1642,0,1,1,Rendah,Dini Hari
167,2011-01-08,Spring,2011,Jan,5,0,Saturday,Weekend,Misty,0.16,0.1667,74.0,0.1642,0,5,5,Rendah,Dini Hari
168,2011-01-08,Spring,2011,Jan,6,0,Saturday,Weekend,Misty,0.16,0.1667,74.0,0.1642,0,2,2,Rendah,Pagi
169,2011-01-08,Spring,2011,Jan,7,0,Saturday,Weekend,Misty,0.16,0.1818,74.0,0.1045,1,8,9,Rendah,Pagi
170,2011-01-08,Spring,2011,Jan,8,0,Saturday,Weekend,Light_rainsnow,0.16,0.1818,93.0,0.1045,0,15,15,Rendah,Pagi
171,2011-01-08,Spring,2011,Jan,9,0,Saturday,Weekend,Light_rainsnow,0.16,0.1818,93.0,0.1045,0,20,20,Rendah,Pagi
172,2011-01-08,Spring,2011,Jan,10,0,Saturday,Weekend,Misty,0.18,0.197,80.0,0.1642,5,56,61,Rendah,Pagi
173,2011-01-08,Spring,2011,Jan,11,0,Saturday,Weekend,Misty,0.2,0.1818,69.0,0.3881,2,60,62,Rendah,Pagi
174,2011-01-08,Spring,2011,Jan,12,0,Saturday,Weekend,Misty,0.2,0.1818,59.0,0.3582,8,90,98,Rendah,Siang
175,2011-01-08,Spring,2011,Jan,13,0,Saturday,Weekend,Clear,0.2,0.1818,44.0,0.3284,7,95,102,Rendah,Siang
176,2011-01-08,Spring,2011,Jan,14,0,Saturday,Weekend,Clear,0.2,0.1667,32.0,0.4925,12,83,95,Rendah,Siang
177,2011-01-08,Spring,2011,Jan,15,0,Saturday,Weekend,Clear,0.2,0.1667,32.0,0.4478,5,69,74,Rendah,Siang
178,2011-01-08,Spring,2011,Jan,16,0,Saturday,Weekend,Clear,0.18,0.1364,28.999999999999996,0.4478,8,68,76,Rendah,Siang
179,2011-01-08,Spring,2011,Jan,17,0,Saturday,Weekend,Clear,0.16,0.1212,37.0,0.5522,5,64,69,Rendah,Siang
180,2011-01-08,Spring,2011,Jan,18,0,Saturday,Weekend,Clear,0.14,0.1212,39.0,0.2985,3,52,55,Rendah,Malam
181,2011-01-08,Spring,2011,Jan,19,0,Saturday,Weekend,Clear,0.14,0.1212,36.0,0.2537,4,26,30,Rendah,Malam
182,2011-01-08,Spring,2011,Jan,20,0,Saturday,Weekend,Clear,0.12,0.1212,36.0,0.2537,0,28,28,Rendah,Malam
183,2011-01-08,Spring,2011,Jan,21,0,Saturday,Weekend,Clear,0.12,0.1061,39.0,0.3582,2,35,37,Rendah,Malam
184,2011-01-08,Spring,2011,Jan,22,0,Saturday,Weekend,Clear,0.12,0.1061,36.0,0.3881,1,33,34,Rendah,Malam
185,2011-01-08,Spring,2011,Jan,23,0,Saturday,Weekend,Clear,0.1,0.0606,39.0,0.4478,0,22,22,Rendah,Malam
186,2011-01-09,Spring,2011,Jan,0,0,Sunday,Weekend,Clear,0.1,0.0758,42.0,0.3881,1,24,25,Rendah,Dini Hari
187,2011-01-09,Spring,2011,Jan,1,0,Sunday,Weekend,Clear,0.1,0.0606,42.0,0.4627,0,12,12,Rendah,Dini Hari
188,2011-01-09,Spring,2011,Jan,2,0,Sunday,Weekend,Clear,0.1,0.0606,46.0,0.4627,0,11,11,Rendah,Dini Hari
189,2011-01-09,Spring,2011,Jan,3,0,Sunday,Weekend,Clear,0.1,0.0758,46.0,0.4179,0,4,4,Rendah,Dini Hari
190,2011-01-09,Spring,2011,Jan,4,0,Sunday,Weekend,Clear,0.08,0.0909,53.0,0.194,0,1,1,Rendah,Dini Hari
191,2011-01-09,Spring,2011,Jan,5,0,Sunday,Weekend,Clear,0.08,0.0909,53.0,0.194,0,1,1,Rendah,Dini Hari
