instant,date,season,year,month,holiday,one_week,category_day,weather_situation,temp,atemp,humidity,wind_speed,casual,registered,total_count,status
55,2011-02-24,Spring,2011,Feb,0,Thursday,Weekday,Misty,0.295652,0.289191,69.7391,0.250496,100,1707,1807,Rendah
56,2011-02-25,Spring,2011,Feb,0,Friday,Weekday,Misty,0.364348,0.350461,71.2174,0.346539,120,1341,1461,Rendah
57,2011-02-26,Spring,2011,Feb,0,Saturday,Weekend,Clear,0.2825,0.282192,53.7917,0.186571,424,1545,1969,Rendah
58,2011-02-27,Spring,2011,Feb,0,Sunday,Weekend,Clear,0.343478,0.351109,68.0,0.125248,694,1708,2402,Rendah
59,2011-02-28,Spring,2011,Feb,0,Monday,Weekday,Misty,0.407273,0.400118,87.63640000000001,0.289686,81,1365,1446,Rendah
60,2011-03-01,Spring,2011,Mar,0,Tuesday,Weekday,Clear,0.266667,0.263879,53.5,0.216425,137,1714,1851,Rendah
61,2011-03-02,Spring,2011,Mar,0,Wednesday,Weekday,Clear,0.335,0.320071,44.9583,0.307833,231,1903,2134,Rendah
62,2011-03-03,Spring,2011,Mar,0,Thursday,Weekday,Clear,0.198333,0.200133,31.833299999999998,0.225754,123,1562,1685,Rendah
63,2011-03-04,Spring,2011,Mar,0,Friday,Weekday,Misty,0.261667,0.255679,61.0417,0.203346,214,1730,1944,Rendah
64,2011-03-05,Spring,2011,Mar,0,Saturday,Weekend,Misty,0.384167,0.378779,78.91669999999999,0.251871,640,1437,2077,Rendah
65,2011-03-06,Spring,2011,Mar,0,Sunday,Weekend,Misty,0.376522,0.366252,94.8261,0.343287,114,491,605,Rendah
66,2011-03-07,Spring,2011,Mar,0,Monday,Weekday,Clear,0.261739,0.238461,55.1304,0.341352,244,1628,1872,Rendah
67,2011-03-08,Spring,2011,Mar,0,Tuesday,Weekday,Clear,0.2925,0.3024,42.0833,0.12065,316,1817,2133,Rendah
68,2011-03-09,Spring,2011,Mar,0,Wednesday,Weekday,Misty,0.295833,0.286608,77.5417,0.22015,191,1700,1891,Rendah
69,2011-03-10,Spring,2011,Mar,0,Thursday,Weekday,Light_rainsnow,0.389091,0.385668,0.0,0.261877,46,577,623,Rendah
70,2011-03-11,Spring,2011,Mar,0,Friday,Weekday,Misty,0.316522,0.305,64.95649999999999,0.23297,247,1730,1977,Rendah
71,2011-03-12,Spring,2011,Mar,0,Saturday,Weekend,Clear,0.329167,0.32575,59.458299999999994,0.220775,724,1408,2132,Rendah
72,2011-03-13,Spring,2011,Mar,0,Sunday,Weekend,Clear,0.384348,0.380091,52.73910000000001,0.270604,982,1435,2417,Rendah
73,2011-03-14,Spring,2011,Mar,0,Monday,Weekday,Clear,0.325217,0.332,49.695699999999995,0.136926,359,1687,2046,Rendah
74,2011-03-15,Spring,2011,Mar,0,Tuesday,Weekday,Misty,0.317391,0.318178,65.5652,0.184309,289,1767,2056,Rendah
75,2011-03-16,Spring,2011,Mar,0,Wednesday,Weekday,Misty,0.365217,0.36693,77.65220000000001,0.203117,321,1871,2192,Rendah
76,2011-03-17,Spring,2011,Mar,0,Thursday,Weekday,Clear,0.415,0.410333,60.291700000000006,0.209579,424,2320,2744,Rendah
77,2011-03-18,Spring,2011,Mar,0,Friday,Weekday,Clear,0.54,0.527009,52.5217,0.231017,884,2355,3239,Rendah
78,2011-03-19,Spring,2011,Mar,0,Saturday,Weekend,Clear,0.4725,0.466525,37.9167,0.368167,1424,1693,3117,Rendah
79,2011-03-20,Spring,2011,Mar,0,Sunday,Weekend,Clear,0.3325,0.32575,47.375,0.207721,1047,1424,2471,Rendah
80,2011-03-21,Summer,2011,Mar,0,Monday,Weekday,Misty,0.430435,0.409735,73.73910000000001,0.288783,401,1676,2077,Rendah
81,2011-03-22,Summer,2011,Mar,0,Tuesday,Weekday,Clear,0.441667,0.440642,62.4583,0.22575,460,2243,2703,Rendah
82,2011-03-23,Summer,2011,Mar,0,Wednesday,Weekday,Misty,0.346957,0.337939,83.9565,0.234261,203,1918,2121,Rendah
83,2011-03-24,Summer,2011,Mar,0,Thursday,Weekday,Misty,0.285,0.270833,80.58330000000001,0.243787,166,1699,1865,Rendah
84,2011-03-25,Summer,2011,Mar,0,Friday,Weekday,Clear,0.264167,0.256312,49.5,0.230725,300,1910,2210,Rendah
85,2011-03-26,Summer,2011,Mar,0,Saturday,Weekend,Clear,0.265833,0.257571,39.4167,0.209571,981,1515,2496,Rendah
86,2011-03-27,Summer,2011,Mar,0,Sunday,Weekend,Misty,0.253043,0.250339,49.3913,0.1843,472,1221,1693,Rendah
87,2011-03-28,Summer,2011,Mar,0,Monday,Weekday,Clear,0.264348,0.257574,30.2174,0.212204,222,1806,2028,Rendah
88,2011-03-29,Summer,2011,Mar,0,Tuesday,Weekday,Clear,0.3025,0.292908,31.4167,0.226996,317,2108,2425,Rendah
89,2011-03-30,Summer,2011,Mar,0,Wednesday,Weekday,Misty,0.3,0.29735,64.6667,0.172888,168,1368,1536,Rendah
90,2011-03-31,Summer,2011,Mar,0,Thursday,Weekday,Light_rainsnow,0.268333,0.257575,91.8333,0.217646,179,1506,1685,Rendah
91,2011-04-01,Summer,2011,Apr,0,Friday,Weekday,Misty,0.3,0.283454,68.625,0.258708,307,1920,2227,Rendah
92,2011-04-02,Summer,2011,Apr,0,Saturday,Weekend,Misty,0.315,0.315637,65.375,0.197146,898,1354,2252,Rendah
93,2011-04-03,Summer,2011,Apr,0,Sunday,Weekend,Clear,0.378333,0.378767,48.0,0.182213,1651,1598,3249,Rendah
94,2011-04-04,Summer,2011,Apr,0,Monday,Weekday,Clear,0.573333,0.542929,42.625,0.385571,734,2381,3115,Rendah
95,2011-04-05,Summer,2011,Apr,0,Tuesday,Weekday,Misty,0.414167,0.39835,64.2083,0.388067,167,1628,1795,Rendah
96,2011-04-06,Summer,2011,Apr,0,Wednesday,Weekday,Clear,0.390833,0.387608,47.0833,0.263063,413,2395,2808,Rendah
97,2011-04-07,Summer,2011,Apr,0,Thursday,Weekday,Clear,0.4375,0.433696,60.291700000000006,0.162312,571,2570,3141,Rendah
98,2011-04-08,Summer,2011,Apr,0,Friday,Weekday,Misty,0.335833,0.324479,83.625,0.226992,172,1299,1471,Rendah
99,2011-04-09,Summer,2011,Apr,0,Saturday,Weekend,Misty,0.3425,0.341529,87.75,0.133083,879,1576,2455,Rendah
100,2011-04-10,Summer,2011,Apr,0,Sunday,Weekend,Misty,0.426667,0.426737,85.75,0.146767,1188,1707,2895,Rendah
101,2011-04-11,Summer,2011,Apr,0,Monday,Weekday,Misty,0.595652,0.565217,71.6956,0.324474,855,2493,3348,Rendah
102,2011-04-12,Summer,2011,Apr,0,Tuesday,Weekday,Misty,0.5025,0.493054,73.9167,0.274879,257,1777,2034,Rendah
103,2011-04-13,Summer,2011,Apr,0,Wednesday,Weekday,Misty,0.4125,0.417283,81.91669999999999,0.250617,209,1953,2162,Rendah
104,2011-04-14,Summer,2011,Apr,0,Thursday,Weekday,Clear,0.4675,0.462742,54.041700000000006,0.1107,529,2738,3267,Rendah
105,2011-04-15,Summer,2011,Apr,1,Friday,Weekday,Clear,0.446667,0.441913,67.125,0.226375,642,2484,3126,Rendah
106,2011-04-16,Summer,2011,Apr,0,Saturday,Weekend,Light_rainsnow,0.430833,0.425492,88.83330000000001,0.340808,121,674,795,Rendah
107,2011-04-17,Summer,2011,Apr,0,Sunday,Weekend,Clear,0.456667,0.445696,47.9583,0.303496,1558,2186,3744,Rendah
108,2011-04-18,Summer,2011,Apr,0,Monday,Weekday,Clear,0.5125,0.503146,54.25,0.163567,669,2760,3429,Rendah
109,2011-04-19,Summer,2011,Apr,0,Tuesday,Weekday,Misty,0.505833,0.489258,66.5833,0.157971,409,2795,3204,Rendah
110,2011-04-20,Summer,2011,Apr,0,Wednesday,Weekday,Clear,0.595,0.564392,61.4167,0.241925,613,3331,3944,Rendah
111,2011-04-21,Summer,2011,Apr,0,Thursday,Weekday,Clear,0.459167,0.453892,40.708299999999994,0.325258,745,3444,4189,Rendah
112,2011-04-22,Summer,2011,Apr,0,Friday,Weekday,Misty,0.336667,0.321954,72.9583,0.219521,177,1506,1683,Rendah
113,2011-04-23,Summer,2011,Apr,0,Saturday,Weekend,Misty,0.46,0.450121,88.79169999999999,0.230725,1462,2574,4036,Rendah
114,2011-04-24,Summer,2011,Apr,0,Sunday,Weekend,Misty,0.581667,0.551763,81.08330000000001,0.192175,1710,2481,4191,Rendah
115,2011-04-25,Summer,2011,Apr,0,Monday,Weekday,Clear,0.606667,0.5745,77.6667,0.185333,773,3300,4073,Rendah
116,2011-04-26,Summer,2011,Apr,0,Tuesday,Weekday,Clear,0.631667,0.594083,72.9167,0.3265,678,3722,4400,Rendah
117,2011-04-27,Summer,2011,Apr,0,Wednesday,Weekday,Misty,0.62,0.575142,83.54169999999999,0.3122,547,3325,3872,Rendah
118,2011-04-28,Summer,2011,Apr,0,Thursday,Weekday,Misty,0.6175,0.578929,70.08330000000001,0.320908,569,3489,4058,Rendah
119,2011-04-29,Summer,2011,Apr,0,Friday,Weekday,Clear,0.51,0.497463,45.7083,0.240063,878,3717,4595,Tinggi
120,2011-04-30,Summer,2011,Apr,0,Saturday,Weekend,Clear,0.4725,0.464021,50.3333,0.235075,1965,3347,5312,Tinggi
121,2011-05-01,Summer,2011,May,0,Sunday,Weekend,Misty,0.451667,0.448204,76.2083,0.106354,1138,2213,3351,Rendah
122,2011-05-02,Summer,2011,May,0,Monday,Weekday,Misty,0.549167,0.532833,73.0,0.183454,847,3554,4401,Rendah
123,2011-05-03,Summer,2011,May,0,Tuesday,Weekday,Misty,0.616667,0.582079,69.7083,0.342667,603,3848,4451,Rendah
124,2011-05-04,Summer,2011,May,0,Wednesday,Weekday,Misty,0.414167,0.40465,73.70830000000001,0.328996,255,2378,2633,Rendah
125,2011-05-05,Summer,2011,May,0,Thursday,Weekday,Clear,0.459167,0.441917,44.4167,0.295392,614,3819,4433,Rendah
126,2011-05-06,Summer,2011,May,0,Friday,Weekday,Clear,0.479167,0.474117,59.0,0.228246,894,3714,4608,Tinggi
127,2011-05-07,Summer,2011,May,0,Saturday,Weekend,Clear,0.52,0.512621,54.125,0.16045,1612,3102,4714,Tinggi
128,2011-05-08,Summer,2011,May,0,Sunday,Weekend,Clear,0.528333,0.518933,63.1667,0.0746375,1401,2932,4333,Rendah
129,2011-05-09,Summer,2011,May,0,Monday,Weekday,Clear,0.5325,0.525246,58.875,0.176,664,3698,4362,Rendah
130,2011-05-10,Summer,2011,May,0,Tuesday,Weekday,Clear,0.5325,0.522721,48.9167,0.115671,694,4109,4803,Tinggi
131,2011-05-11,Summer,2011,May,0,Wednesday,Weekday,Clear,0.5425,0.5284,63.29169999999999,0.120642,550,3632,4182,Rendah
132,2011-05-12,Summer,2011,May,0,Thursday,Weekday,Clear,0.535,0.523363,74.75,0.189667,695,4169,4864,Tinggi
133,2011-05-13,Summer,2011,May,0,Friday,Weekday,Misty,0.5125,0.4943,86.33330000000001,0.179725,692,3413,4105,Rendah
134,2011-05-14,Summer,2011,May,0,Saturday,Weekend,Misty,0.520833,0.500629,92.25,0.13495,902,2507,3409,Rendah
135,2011-05-15,Summer,2011,May,0,Sunday,Weekend,Misty,0.5625,0.536,86.70830000000001,0.152979,1582,2971,4553,Tinggi
136,2011-05-16,Summer,2011,May,0,Monday,Weekday,Clear,0.5775,0.550512,78.79169999999999,0.126871,773,3185,3958,Rendah
137,2011-05-17,Summer,2011,May,0,Tuesday,Weekday,Misty,0.561667,0.538529,83.7917,0.277354,678,3445,4123,Rendah
138,2011-05-18,Summer,2011,May,0,Wednesday,Weekday,Misty,0.55,0.527158,87.0,0.201492,536,3319,3855,Rendah
139,2011-05-19,Summer,2011,May,0,Thursday,Weekday,Misty,0.530833,0.510742,82.9583,0.108213,735,3840,4575,Tinggi
140,2011-05-20,Summer,2011,May,0,Friday,Weekday,Clear,0.536667,0.529042,71.9583,0.125013,909,4008,4917,Tinggi
141,2011-05-21,Summer,2011,May,0,Saturday,Weekend,Clear,0.6025,0.571975,62.6667,0.12065,2258,3547,5805,Tinggi
142,2011-05-22,Summer,2011,May,0,Sunday,Weekend,Clear,0.604167,0.5745,74.9583,0.148008,1576,3084,4660,Tinggi
143,2011-05-23,Summer,2011,May,0,Monday,Weekday,Misty,0.631667,0.590296,81.0,0.233842,836,3438,4274,Rendah
144,2011-05-24,Summer,2011,May,0,Tuesday,Weekday,Misty,0.66,0.604813,74.0833,0.207092,659,3833,4492,Rendah
145,2011-05-25,Summer,2011,May,0,Wednesday,Weekday,Clear,0.660833,0.615542,69.625,0.154233,740,4238,4978,Tinggi
146,2011-05-26,Summer,2011,May,0,Thursday,Weekday,Clear,0.708333,0.654688,67.75,0.199642,758,3919,4677,Tinggi
147,2011-05-27,Summer,2011,May,0,Friday,Weekday,Clear,0.681667,0.637008,65.375,0.240679,871,3808,4679,Tinggi
148,2011-05-28,Summer,2011,May,0,Saturday,Weekend,Clear,0.655833,0.612379,72.9583,0.230092,2001,2757,4758,Tinggi
149,2011-05-29,Summer,2011,May,0,Sunday,Weekend,Clear,0.6675,0.61555,81.875,0.213938,2355,2433,4788,Tinggi
150,2011-05-30,Summer,2011,May,1,Monday,Weekday,Clear,0.733333,0.671092,68.5,0.131225,1549,2549,4098,Rendah
151,2011-05-31,Summer,2011,May,0,Tuesday,Weekday,Clear,0.775,0.725383,63.6667,0.111329,673,3309,3982,Rendah
152,2011-06-01,Summer,2011,Jun,0,Wednesday,Weekday,Misty,0.764167,0.720967,67.7083,0.207092,513,3461,3974,Rendah
153,2011-06-02,Summer,2011,Jun,0,Thursday,Weekday,Clear,0.715,0.643942,30.5,0.292287,736,4232,4968,Tinggi
154,2011-06-03,Summer,2011,Jun,0,Friday,Weekday,Clear,0.62,0.587133,35.4167,0.253121,898,4414,5312,Tinggi
155,2011-06-04,Summer,2011,Jun,0,Saturday,Weekend,Clear,0.635,0.594696,45.625,0.123142,1869,3473,5342,Tinggi
156,2011-06-05,Summer,2011,Jun,0,Sunday,Weekend,Misty,0.648333,0.616804,65.25,0.138692,1685,3221,4906,Tinggi
157,2011-06-06,Summer,2011,Jun,0,Monday,Weekday,Clear,0.678333,0.621858,60.0,0.121896,673,3875,4548,Tinggi
158,2011-06-07,Summer,2011,Jun,0,Tuesday,Weekday,Clear,0.7075,0.65595,59.791700000000006,0.187808,763,4070,4833,Tinggi
159,2011-06-08,Summer,2011,Jun,0,Wednesday,Weekday,Clear,0.775833,0.727279,62.20830000000001,0.136817,676,3725,4401,Rendah
160,2011-06-09,Summer,2011,Jun,0,Thursday,Weekday,Misty,0.808333,0.757579,56.833299999999994,0.149883,563,3352,3915,Rendah
161,2011-06-10,Summer,2011,Jun,0,Friday,Weekday,Clear,0.755,0.703292,60.5,0.140554,815,3771,4586,Tinggi
162,2011-06-11,Summer,2011,Jun,0,Saturday,Weekend,Clear,0.725,0.678038,65.45830000000001,0.15485,1729,3237,4966,Tinggi
163,2011-06-12,Summer,2011,Jun,0,Sunday,Weekend,Clear,0.6925,0.643325,74.7917,0.163567,1467,2993,4460,Rendah
164,2011-06-13,Summer,2011,Jun,0,Monday,Weekday,Clear,0.635,0.601654,49.4583,0.30535,863,4157,5020,Tinggi
165,2011-06-14,Summer,2011,Jun,0,Tuesday,Weekday,Clear,0.604167,0.591546,50.708299999999994,0.269283,727,4164,4891,Tinggi
166,2011-06-15,Summer,2011,Jun,0,Wednesday,Weekday,Clear,0.626667,0.587754,47.1667,0.167912,769,4411,5180,Tinggi
167,2011-06-16,Summer,2011,Jun,0,Thursday,Weekday,Misty,0.628333,0.595346,68.8333,0.206471,545,3222,3767,Rendah
168,2011-06-17,Summer,2011,Jun,0,Friday,Weekday,Clear,0.649167,0.600383,73.5833,0.143029,863,3981,4844,Tinggi
169,2011-06-18,Summer,2011,Jun,0,Saturday,Weekend,Clear,0.696667,0.643954,67.0417,0.119408,1807,3312,5119,Tinggi
170,2011-06-19,Summer,2011,Jun,0,Sunday,Weekend,Misty,0.699167,0.645846,66.6667,0.102,1639,3105,4744,Tinggi
171,2011-06-20,Summer,2011,Jun,0,Monday,Weekday,Misty,0.635,0.595346,74.625,0.155475,699,3311,4010,Rendah
172,2011-06-21,Fall,2011,Jun,0,Tuesday,Weekday,Misty,0.680833,0.637646,77.0417,0.171025,774,4061,4835,Tinggi
173,2011-06-22,Fall,2011,Jun,0,Wednesday,Weekday,Clear,0.733333,0.693829,70.75,0.172262,661,3846,4507,Tinggi
174,2011-06-23,Fall,2011,Jun,0,Thursday,Weekday,Misty,0.728333,0.693833,70.3333,0.238804,746,4044,4790,Tinggi
175,2011-06-24,Fall,2011,Jun,0,Friday,Weekday,Clear,0.724167,0.656583,57.3333,0.222025,969,4022,4991,Tinggi
176,2011-06-25,Fall,2011,Jun,0,Saturday,Weekend,Clear,0.695,0.643313,48.3333,0.209571,1782,3420,5202,Tinggi
177,2011-06-26,Fall,2011,Jun,0,Sunday,Weekend,Clear,0.68,0.637629,51.3333,0.0945333,1920,3385,5305,Tinggi
178,2011-06-27,Fall,2011,Jun,0,Monday,Weekday,Misty,0.6825,0.637004,65.8333,0.107588,854,3854,4708,Tinggi
179,2011-06-28,Fall,2011,Jun,0,Tuesday,Weekday,Clear,0.744167,0.692558,63.416700000000006,0.144283,732,3916,4648,Tinggi
180,2011-06-29,Fall,2011,Jun,0,Wednesday,Weekday,Clear,0.728333,0.654688,49.7917,0.261821,848,4377,5225,Tinggi
181,2011-06-30,Fall,2011,Jun,0,Thursday,Weekday,Clear,0.696667,0.637008,43.416700000000006,0.185312,1027,4488,5515,Tinggi
182,2011-07-01,Fall,2011,Jul,0,Friday,Weekday,Clear,0.7225,0.652162,39.625,0.102608,1246,4116,5362,Tinggi
183,2011-07-02,Fall,2011,Jul,0,Saturday,Weekend,Clear,0.738333,0.667308,44.4583,0.115062,2204,2915,5119,Tinggi
184,2011-07-03,Fall,2011,Jul,0,Sunday,Weekend,Misty,0.716667,0.668575,68.25,0.228858,2282,2367,4649,Tinggi
185,2011-07-04,Fall,2011,Jul,1,Monday,Weekday,Misty,0.726667,0.665417,63.7917,0.0814792,3065,2978,6043,Tinggi
186,2011-07-05,Fall,2011,Jul,0,Tuesday,Weekday,Clear,0.746667,0.696338,59.0417,0.126258,1031,3634,4665,Tinggi
187,2011-07-06,Fall,2011,Jul,0,Wednesday,Weekday,Clear,0.72,0.685633,74.33330000000001,0.149883,784,3845,4629,Tinggi
188,2011-07-07,Fall,2011,Jul,0,Thursday,Weekday,Clear,0.75,0.686871,65.125,0.1592,754,3838,4592,Tinggi
189,2011-07-08,Fall,2011,Jul,0,Friday,Weekday,Misty,0.709167,0.670483,75.79169999999999,0.225129,692,3348,4040,Rendah
190,2011-07-09,Fall,2011,Jul,0,Saturday,Weekend,Clear,0.733333,0.664158,60.9167,0.167912,1988,3348,5336,Tinggi
191,2011-07-10,Fall,2011,Jul,0,Sunday,Weekend,Clear,0.7475,0.690025,57.8333,0.183471,1743,3138,4881,Tinggi
192,2011-07-11,Fall,2011,Jul,0,Monday,Weekday,Clear,0.7625,0.729804,63.5833,0.282337,723,3363,4086,Rendah
193,2011-07-12,Fall,2011,Jul,0,Tuesday,Weekday,Clear,0.794167,0.739275,55.9167,0.200254,662,3596,4258,Rendah
194,2011-07-13,Fall,2011,Jul,0,Wednesday,Weekday,Clear,0.746667,0.689404,63.1667,0.146133,748,3594,4342,Rendah
195,2011-07-14,Fall,2011,Jul,0,Thursday,Weekday,Clear,0.680833,0.635104,47.625,0.240667,888,4196,5084,Tinggi
196,2011-07-15,Fall,2011,Jul,0,Friday,Weekday,Clear,0.663333,0.624371,59.12500000000001,0.182833,1318,4220,5538,Tinggi
197,2011-07-16,Fall,2011,Jul,0,Saturday,Weekend,Clear,0.686667,0.638263,58.5,0.208342,2418,3505,5923,Tinggi
198,2011-07-17,Fall,2011,Jul,0,Sunday,Weekend,Clear,0.719167,0.669833,60.4167,0.245033,2006,3296,5302,Tinggi
199,2011-07-18,Fall,2011,Jul,0,Monday,Weekday,Clear,0.746667,0.703925,65.125,0.215804,841,3617,4458,Rendah
